source	set
REACTOME	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION
REACTOME	REACTOME_P38MAPK_EVENTS
REACTOME	REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN
GO:BP	GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1
GO:BP	GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_13
GO:BP	GOBP_INTERLEUKIN_10_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_INTERLEUKIN_10_PRODUCTION
GO:BP	GOBP_INTERLEUKIN_11_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_INTERLEUKIN_12_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_INTERLEUKIN_12_PRODUCTION
GO:BP	GOBP_INTERLEUKIN_13_PRODUCTION
GO:BP	GOBP_INTERLEUKIN_17A_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_INTERLEUKIN_17_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_INTERLEUKIN_17_PRODUCTION
GO:BP	GOBP_INTERLEUKIN_18_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_INTERLEUKIN_18_PRODUCTION
GO:BP	GOBP_INTERLEUKIN_1_ALPHA_PRODUCTION
GO:BP	GOBP_INTERLEUKIN_1_BETA_PRODUCTION
GO:BP	GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_INTERLEUKIN_1_PRODUCTION
GO:BP	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION
GO:BP	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION
GO:BP	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_13_PRODUCTION
GO:BP	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION
GO:BP	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_ALPHA_PRODUCTION
GO:BP	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION
GO:BP	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION
GO:BP	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION
GO:BP	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION
GO:BP	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_13_PRODUCTION
GO:BP	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION
GO:BP	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_18_PRODUCTION
GO:BP	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_ALPHA_PRODUCTION
GO:BP	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION
GO:BP	GOBP_REGULATION_OF_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY
GO:BP	GOBP_RESPONSE_TO_INTERLEUKIN_1
GO:BP	GOBP_RESPONSE_TO_INTERLEUKIN_12
GO:BP	GOBP_RESPONSE_TO_INTERLEUKIN_13
GO:BP	GOBP_RESPONSE_TO_INTERLEUKIN_15
GO:BP	GOBP_RESPONSE_TO_INTERLEUKIN_17
GO:BP	GOBP_RESPONSE_TO_INTERLEUKIN_18
