sample_id	singscore_F	singscore_M	ssgsea_F	ssgsea_M	delta_singscore	delta_ssgsea	title	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
GSM352133	5.976914899907413	14.48108097182225	NA	NA	0.5259175461607498	0	B22-Met (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352133/suppl/GSM352133.CEL.gz	22283
GSM352134	5.92723320548969	14.404724140400361	NA	NA	0.4174896830593079	0	B34-Met (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352134/suppl/GSM352134.CEL.gz	22283
GSM352135	6.0504103997409295	14.79395651419102	NA	NA	-0.127725638957692	0	B35-Met (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352135/suppl/GSM352135.CEL.gz	22283
GSM352136	6.02101880726254	14.801914736365088	NA	NA	-0.40821301399581644	0	B41-Met (U133A): Liver metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Liver	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Liver metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352136/suppl/GSM352136.CEL.gz	22283
GSM352137	6.10779627230903	14.90693713676237	NA	NA	-0.10339729115390106	0	100184T (U133A): Brain metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Brain	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Brain metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352137/suppl/GSM352137.CEL.gz	22283
GSM352138	5.96249387480722	14.46645217369134	NA	NA	0.46376210012261965	0	101258T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352138/suppl/GSM352138.CEL.gz	22283
GSM352139	5.805800413561227	14.4281466181594	NA	NA	-0.7028486081266855	0	101815T (U133A): Liver metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Liver	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Liver metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352139/suppl/GSM352139.CEL.gz	22283
GSM352140	6.067952227121406	14.947492305889279	NA	NA	-0.6048401525627852	0	102962T (U133A): Brain metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Brain	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Brain metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352140/suppl/GSM352140.CEL.gz	22283
GSM352141	6.1494968675518	14.832459764172501	NA	NA	0.5518428001610384	0	103696T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352141/suppl/GSM352141.CEL.gz	22283
GSM352142	5.817814152509813	14.166233309514531	NA	NA	0.4650317517883815	0	105188T (U133A): Brain metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Brain	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Brain metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352142/suppl/GSM352142.CEL.gz	22283
