dataset	proteomics_sample	candidate_transcript_sample	reason
PXD011796	DS_181017_RA023_A23_1h	RA023_A23	No transcript metadata or no matching entry
PXD011796	DS_181017_RA026_A23_1h	RA026_A23	No transcript metadata or no matching entry
PXD011796	DS_181017_SLE01_PMA_1h	SLE01_PMA	No transcript metadata or no matching entry
PXD011796	DS_181017_SLE04_A23_1h	SLE04_A23	No transcript metadata or no matching entry
PXD011796	DS_181017_SLE06_A23_1h	SLE06_A23	No transcript metadata or no matching entry
PXD011796	DS_181017_media_Rep3_1h	Media_REP3	No transcript metadata or no matching entry
PXD011796	DS_200417_A23187_NC16_1h	A23187_NC16	No transcript metadata or no matching entry
PXD011796	Ds_181017_RA023_PMA_1h	RA023_PMA	No transcript metadata or no matching entry
PXD011796	Ds_181017_SLE02_PMA_1h	SLE02_PMA	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_control_12	SKBR3_control	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_control_21	SKBR3_control	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_control_23	SKBR3_control	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_control_32	SKBR3_control	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_treatement_11	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_treatement_13	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_treatement_22	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_treatement_31	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Cyto_treatement_33	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_control_12	SKBR3_control	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_control_21	SKBR3_control	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_control_23	SKBR3_control	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_control_32	SKBR3_control	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_treatement_11	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_treatement_13	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_treatement_22	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_treatement_31	SKBR3_treatement	No transcript metadata or no matching entry
PXD046330	SKBR3_Nucl_treatement_33	SKBR3_treatement	No transcript metadata or no matching entry
PXD051579	JIMT1_BR_R1	JIMT1_BR	No transcript metadata or no matching entry
PXD051579	JIMT1_BR_R3	JIMT1_BR	No transcript metadata or no matching entry
PXD051579	SUM190_BR_R1	SUM190_BR	No transcript metadata or no matching entry
PXD051579	SUM190_BR_R3	SUM190_BR	No transcript metadata or no matching entry
PXD051579	SUM190_P_R2	SUM190_P	No transcript metadata or no matching entry
PXD051579	SUM190_P_R3	SUM190_P	No transcript metadata or no matching entry
