threshold	net_benefit_model	net_benefit_all	net_benefit_none
0.01	0.04310360239563779	0.041744882452847056	0.0
0.02	0.032183492866173016	0.03196676900848835	0.0
0.03	0.02406714715810601	0.021987044977648022	0.0
0.04	0.02514749262536873	0.011799410029498518	0.0
0.05	0.022449930135072193	0.001397298556124825	0.0
0.060000000000000005	0.02218038034268499	-0.009226134437958965	0.0
0.06999999999999999	0.02196212770006661	-0.02007802835664667	0.0
0.08	0.02100808003078107	-0.031165833012697194	0.0
0.09	0.019935816395993386	-0.04249732568316639	0.0
0.09999999999999999	0.019075712881022618	-0.05408062930186823	0.0
0.11	0.017838321567067716	-0.06592423187829372	0.0
0.12	0.017055510860820598	-0.07803700724054706	0.0
0.13	0.015807140677448886	-0.09042823720882921	0.0
0.14	0.01510598888660218	-0.10310763531590862	0.0
0.15000000000000002	0.015096304008328992	-0.11608537220197816	0.0
0.16	0.014243573535608931	-0.12937210282343026	0.0
0.17	0.009873120801791233	-0.14297899562853184	0.0
0.18000000000000002	0.009842434707532915	-0.15691776386790418	0.0
0.19	0.00847809461378783	-0.17120069922429804	0.0
0.2	0.006194690265486726	-0.18584070796460178	0.0
0.21000000000000002	0.001702699675142822	-0.2008513498375714	0.0
0.22	0.002223734967097799	-0.21624687996369413	0.0
0.23	0.0009424204114469609	-0.23204229398919662	0.0
0.24000000000000002	0.001210992081974848	-0.248253376804844	0.0
0.25	0.0005899705014749262	-0.26489675516224187	0.0
0.26	0.0001435063381966025	-0.28198995455632625	0.0
0.27	0.0009940598860467935	-0.2995514607831252	0.0
0.28	0.00019665683382497426	-0.3176007866273353	0.0
0.29000000000000004	0.0012962732145082876	-0.3361585441854668	0.0
0.3	0.0007585335018963331	-0.3552465233881163	0.0
0.31	-0.002205976657688855	-0.37488777735026296	0.0
0.32	0.00010411244143675147	-0.3951067152524727	0.0
0.33	2.6416589618280008e-05	-0.4159292035398231	0.0
0.34	-5.363368195226634e-05	-0.43738267632072947	0.0
0.35000000000000003	-0.00013614703880190644	-0.45949625595643295	0.0
0.36000000000000004	-0.00022123893805309778	-0.4823008849557523	0.0
0.37	-0.00030903216743924725	-0.5058294704312404	0.0
0.38	-0.00039965743648301454	-0.53011704253497	0.0
0.39	-0.0004932540258232991	-0.5552009284781663	0.0
0.4	-0.0005899705014749267	-0.5811209439528024	0.0
0.41000000000000003	-0.0006899655017249141	-0.607919604019799	0.0
0.42000000000000004	-0.0007934086054317978	-0.6356423558132439	0.0
0.43	0.0004347151063499458	-0.6643378357397919	0.0
0.44	0.000379266750948167	-0.6940581542351454	0.0
0.45	0.0003218020917135963	-0.7248592115848752	0.0
0.46	0.00026220911176663394	-0.756801048836447	0.0
0.47000000000000003	0.00020036734012355987	-0.7899482384371348	0.0
0.48000000000000004	0.000136147038801906	-0.8243703199455412	0.0
0.49	6.940829429116801e-05	-0.8601422870032968	0.0
0.5	0.0	-0.8973451327433628	0.0
0.51	-7.224128589488894e-05	-0.9360664619830233	0.0
0.52	-0.00014749262536873178	-0.9764011799410032	0.0
0.53	-0.000225946149501036	-1.018452268875918	0.0
0.54	-0.00030781069642170063	-1.0623316660253945	0.0
0.55	-0.00039331366764995155	-1.1081612586037368	0.0
0.56	-0.00048270313757039444	-1.1560740144810944	0.0
0.5700000000000001	0.0	-1.2062152706318177	0.0
0.5800000000000001	0.0	-1.258744205646861	0.0
0.59	0.0	-1.3138355277358083	0.0
0.6	0.0	-1.3716814159292035	0.0
0.61	0.0	-1.4324937599273884	0.0
0.62	0.0	-1.4965067536096879	0.0
0.63	0.0	-1.5639799091126525	0.0
0.64	0.0	-1.6352015732546707	0.0
0.65	0.0	-1.710493046776233	0.0
0.66	0.0	-1.7902134305049455	0.0
0.67	0.0	-1.8747653526414594	0.0
0.68	0.0	-1.964601769911505	0.0
0.6900000000000001	0.0	-2.0602340850699408	0.0
0.7000000000000001	0.0	-2.1622418879056053	0.0
0.7100000000000001	0.0	-2.2712847116264885	0.0
0.72	0.0	-2.3881163084702903	0.0
0.73	0.0	-2.5136020976728934	0.0
0.74	0.0	-2.648740639891082	0.0
0.75	0.0	-2.7946902654867256	0.0
0.76	0.0	-2.952802359882006	0.0
0.77	0.0	-3.1246633320507886	0.0
0.78	0.0	-3.3121480289621883	0.0
0.79	0.0	-3.5174884112937215	0.0
0.8	0.0	-3.743362831858408	0.0
0.81	0.0	-3.993013507219377	0.0
0.8200000000000001	0.0	-4.270403146509342	0.0
0.8300000000000001	0.0	-4.580426861009893	0.0
0.8400000000000001	0.0	-4.929203539823012	0.0
0.85	0.0	-5.324483775811209	0.0
0.86	0.0	-5.776232616940581	0.0
0.87	0.0	-6.297481279782164	0.0
0.88	0.0	-6.905604719764012	0.0
0.89	0.0	-7.6242960579243775	0.0
0.9	0.0	-8.486725663716816	0.0
0.91	0.0	-9.540806293018687	0.0
0.92	0.0	-10.858407079646025	0.0
0.93	0.0	-12.552465233881172	0.0
0.9400000000000001	0.0	-14.811209439528039	0.0
0.9500000000000001	0.0	-17.973451327433654	0.0
0.9600000000000001	0.0	-22.716814159292078	0.0
0.97	0.0	-30.62241887905602	0.0
0.98	0.0	-46.433628318584034	0.0
0.99	0.0	-93.86725663716807	0.0
